"","Domain","Mean","Head_Count","Poverty_Gap","Gini","Quintile_Share","Quantile_10","Quantile_25","Median","Quantile_75","Quantile_90"
"70","Galim",61149.107757633,0.8825,0.358600947112276,0.200816807007476,2.72258032162657,38027.0754395502,45191.8932653345,54372.3474302074,68388.3432189313,100117.08581798
"71","Garoua2",88648.4505787219,0.693035714285714,0.220181802815786,0.280905777284416,3.98737244590843,45508.4227820142,56561.610941553,71435.737463861,98560.5213121956,168104.876708752
"72","GarouaBoulaî",109673.097169801,0.482749808273405,0.180364491675554,0.312490411377576,4.9817332723407,42197.6422778312,56773.1031029807,93595.7498445386,158244.424984782,200965.965523374
"73","Guider",85388.2246549724,0.69796659456062,0.301303466105707,0.366665924805012,5.87193696232316,33427.6036113707,42773.0534629208,60590.0116925065,106785.196003077,177705.443479345
"74","HiléAlifa",55807.6630265181,0.975535714285714,0.38395820719513,0.135144522345699,1.97940241583938,39186.47178692,45870.1874763831,53825.5937039231,63976.2026877191,76048.9809329491
"75","Jakiri",197613.591027062,0.0461711936149308,0.00818735935507249,0.196614007820458,2.76310401428663,115173.791999653,149979.162945637,189258.775158883,236007.769966711,288736.186918136
"76","Kaele",158720.592838442,0.159107142857143,0.0390157568458975,0.229044477332305,3.40560300070711,74494.8886171807,108868.0628047,153756.889507041,201175.495287895,253185.00031837
"77","Kalfou",36348.7025098312,0.999642857142857,0.59673899199321,0.158224324920448,2.22680115496596,24022.8350795933,28734.2025395461,34612.0651647116,42212.1730241267,52416.9628740256
"78","KayKay",52320.4609397516,0.931785714285714,0.437264898052742,0.209558063239927,2.86836475017806,30469.9587605623,37912.8222549433,47410.4397704251,60324.8485913446,83257.1628563313
"79","Kekem",221291.943948183,0.0130357142857143,0.00142038638065597,0.193128217037212,2.71228692288678,126001.921759175,166049.439852829,211134.968541122,262360.094816445,327758.29598758
"80","Kétté",72395.0368366552,0.767857142857143,0.256018104122614,0.201897760562586,2.75151972939969,42035.6488704211,51891.1253750875,66885.7404075778,88807.174489558,112786.807148578
"81","Kolofata",54030.0514999322,0.941827813468764,0.418321745420444,0.196281871910043,2.61598801993989,33953.9115241178,40377.4432396288,49528.4058980677,61375.2949830971,77874.7513505303
"82","Kouoptamo",151070.860250185,0.253493055419204,0.0620534435790583,0.268290381201666,4.08069010527419,64533.1872847092,89622.5911095218,141783.158904594,201464.964275568,248927.849699433
"83","Kousséri",159791.557991519,0.184650669335041,0.0389484606238445,0.251397739935573,3.64162918434937,75330.6698655411,101752.242189894,150206.095000535,208783.498667584,259582.364316558
"84","Koutaba",133602.741556246,0.292008611839225,0.0755780901689361,0.262094798350489,3.85869622333787,62764.4105195831,84950.7685152378,121340.058929649,172735.997763203,225677.81738882
"85","Kribi1",306682.194981932,0.00241379310344828,0.000180952110302159,0.188931622819043,2.7206315950299,174118.161598444,236505.82733921,296124.783639807,364096.556927843,460655.70143
"86","Kribi2",249763.986166611,0.00115384615384615,6.44206190505889e-05,0.184376185237169,2.4730517824917,155182.124016711,188597.485190932,233513.059637095,293640.85748299,367931.009681587
"87","Kumba1",254111.644908895,0.000412165476412545,3.66972312298997e-05,0.183685308728139,2.48522923500136,159879.222038972,190832.228262218,237346.746744342,301552.838874157,372908.715378045
"88","Kumbo",191425.947966004,0.0246428571428571,0.00353600083218166,0.192877743350975,2.66735823600961,117802.602727704,145033.510509079,177286.917492164,215630.891349624,288066.393354696
"89","KyéOssi",141092.652722279,0.321262410955097,0.0743050738224714,0.289676539308826,4.2262975145435,62763.6456054975,82171.896092443,120014.024815264,185012.941274989,247992.719998981
