"","Domain","Mean","Head_Count","Poverty_Gap","Gini","Quintile_Share","Quantile_10","Quantile_25","Median","Quantile_75","Quantile_90"
"65","Eséka",634821261.133933,0.00050811951303155,1.35331458907944e-05,0.000443545842187451,0.0624535284855802,395454371.151088,463062036.495488,694983622.007009,1126739701.47381,1660199555.34844
"66","Esse",230675445.244179,0.00718223391272189,0.000462154865617624,0.0006004663266652,0.143875340645609,123753918.754596,166749200.498182,219113878.065566,412127307.253775,1143401275.62449
"67","Figuil",25530455.5715726,0.000575404974489796,0.00294423266389207,0.000504214785736168,0.0599260242373284,17048956.8367432,19688651.5200738,25591071.3407718,37447393.3556701,73893769.4009084
"68","Foumban",239436726.630619,0.000190437238069845,6.61853265134197e-06,0.000258388862814153,0.0474993798131304,137816895.283813,156167868.298283,270642162.539179,483206713.896332,1095663239.90964
"69","Foumbot",135636466.464252,0.00239669355878924,0.000614685032194059,0.000300634289035233,0.28595426109713,29799264.1238228,44469140.7000051,159503398.246381,401645651.086132,728090197.968319
"70","Galim",41565037.720628,0.00225778890306123,0.00317624048041431,0.000485480282005327,0.0855566355219717,22039274.8647398,24143724.1445737,38227505.9691331,69666691.4264073,233408630.024581
"71","Garoua2",100329166.055428,0.00934387978316327,0.00196413242306427,0.000758685085986723,0.271118148100717,37618629.7205515,48917501.2702212,78349814.2350698,156622759.615904,960745630.6623
"72","GarouaBoulaî",57310418.0477977,0.00154665936814299,0.000560178592169095,0.000242471703175493,0.183875064562626,16047205.8833199,23337236.1138302,78474271.0957775,196915013.943663,279433667.590944
"73","Guider",45914450.5319597,0.00139765368731615,0.000739278171803835,0.00015956158297395,0.142351465695718,10431533.2183571,15120110.0764651,25890754.3126103,103299609.600909,289085493.85181
"74","HiléAlifa",36496726.6330192,0.0019985703125,0.00395473077229068,0.000361657196039742,0.0376133616051025,22280620.3292404,25780625.1246969,37366303.356953,61060654.5982323,92791521.6658027
"75","Jakiri",271524663.485871,0.000524617497642694,2.24630241839513e-05,0.000306852860166644,0.0602605083735226,168329042.580439,184094017.758885,281537675.004054,492008658.353423,891172510.901039
"76","Kaele",207302649.68249,0.00289836208545918,0.000161242805706848,0.000435106327615007,0.144250427327402,96638359.6350441,155393177.272361,263293936.616561,432773723.082634,1038258741.58453
"77","Kalfou",17032833.666162,0.000387241390306122,0.00199527757758574,0.000555542208572373,0.0662941231092203,13033199.8711057,14311896.6843322,15630744.4256475,26515075.3111805,66836711.4755558
"78","KayKay",48127763.7561831,0.00264374059311225,0.00372829363666815,0.000567018914515309,0.112907002059519,23100225.7976439,26611973.839878,44565656.3064212,74594562.9904306,240599339.676212
"79","Kekem",512982791.116994,0.000853183992346939,2.01132115363153e-05,0.000507701421310471,0.104893164072635,272215677.204138,339019756.041391,510373436.795655,835233632.772342,2019126706.51349
"80","Kétté",42991902.2593456,0.00685869084821429,0.00212807838433255,0.000548645610764128,0.105651476067995,27036725.5234545,29761002.3973832,50836908.8844303,76909147.9888288,215090166.760649
"81","Kolofata",13533858.5165348,0.000958790903665207,0.00105978039735236,0.000231308598407782,0.0417564445561699,8539961.66589517,9988989.76573634,15214666.5513557,23816620.1952593,50118991.2282242
"82","Kouoptamo",74317330.2995706,0.00190025942888095,0.000273890527258623,0.000243133827271195,0.124259454774617,30083846.8062451,47509723.644617,105944369.790425,200674630.543242,377958760.15107
