"","Domain","Mean","Head_Count","Poverty_Gap","Gini","Quintile_Share","Quantile_10","Quantile_25","Median","Quantile_75","Quantile_90"
"31","MefouetAfamba",105055324.200802,0.000680986085928297,5.00673924359167e-05,0.000147899893607278,0.0651135015762387,39506144.9731439,75139672.0239001,118001411.535011,287571664.987273,468911772.030356
"32","MefouetAkono",54675483.3776661,0.00531813966073865,0.000774867863464583,0.000358012197093636,0.0934885006181909,28192804.4930197,36293361.7658914,55450088.6537163,108058424.148388,283104271.076446
"33","Meme",248439295.842085,7.09727052484886e-06,2.70631660371973e-08,0.000144447708283408,0.0228203136618929,152976845.693171,190237213.231763,237333098.852627,415017762.020056,871822781.813754
"34","Menoua",73455541.356188,0.00137684548779134,0.000113317276768843,0.000121778049220621,0.0628573404532878,20160034.546359,25841011.961598,66297451.0386729,215271547.927958,435815033.070955
"35","Mezam",97839608.0603273,0.000231154282299283,1.37191691751556e-05,7.57531422315083e-05,0.030034147275104,52597692.1880487,65310960.8558069,103863140.60034,170759220.578837,343588084.10562
"36","Mfoundi",32358848.8402004,1.23450938188966e-05,2.63133090678834e-07,3.54025410271288e-05,0.00785895283086992,23974968.5708668,22271461.4624791,36280245.1899343,65792817.1246692,133149078.955073
"37","Mifi",72571512.1924495,0.000316162377580705,4.95837873315471e-05,7.59316627579557e-05,0.0842348416444222,28400396.0214483,60557830.847841,85852755.9650711,164091712.536739,342619457.844794
"38","Moungo",33075474.7203537,0.000221364458686714,2.06044481336935e-05,3.6680649041931e-05,0.0200615055691525,12214318.4603532,19338505.7841532,37570441.4081912,68472385.5033324,126649616.159137
"39","Mvila",61416627.5250736,0.000526607672391288,7.19488710276056e-05,0.00012469051618781,0.0879455019875244,14714713.1090665,21396375.650853,58219892.8017173,155952304.466838,459272372.290483
"40","Ndé",158865621.088485,0.0018890547642264,0.000105418997733584,0.000279691093076745,0.125077868271367,51337719.1144719,84560626.6810757,148046633.772444,416700202.073662,940063665.901138
"41","NgoKetunjia",62152593.4031658,0.0032943401485576,0.000668820303027542,0.000297297465361568,0.130808681474864,21122116.8172433,27572058.3463764,59329974.5801565,134545234.658156,428504802.88916
"42","Nkam",73257591.1532768,0.00306591759885747,0.000649071995846525,0.000289334817256064,0.123073815829631,24879264.0257345,33570406.4418668,64985829.5199342,199941773.384393,457347028.461588
"43","Noun",33637356.6850884,0.00053910874454691,8.99332959072653e-05,5.82275750702224e-05,0.0491274150208085,9385870.81002387,14849755.4103825,42329191.1970391,84807400.2264134,160451223.408509
"44","NyongetKéllé",180325670.009912,0.000625343536389975,6.24213196928544e-05,0.000140219965709606,0.0615618198170166,60804210.2792057,105716899.404982,220418261.576663,380900330.716323,569779801.09037
"45","NyongetMfoumou",61574656.6860473,0.0021660476835597,0.000566742681960522,0.000186048108259575,0.114856803516413,13532465.2430753,21338053.6712661,47126507.7476426,156507089.859437,501292254.766099
"46","NyongetSo'o",197739671.74559,0.000599455563382358,0.000150103698157391,0.000180154878799734,0.243650133588079,25921311.8300412,88239469.0902905,257601030.289188,499250242.208614,1051547469.8381
"47","Océan",121568690.643424,0.000134437906983988,1.97287817194306e-05,0.000124427270126725,0.0539876106636419,49621632.9151274,78753690.8574698,129726796.667215,258242964.716529,621756209.038452
"48","SanagaMaritime",66794516.8136241,0.000350950128165156,2.96993459976641e-05,7.4999277913032e-05,0.0440050526772231,23746582.1442133,32334976.233469,70130988.1274716,169576460.711747,307002514.025778
"49","ValléeduNtem",62382144.1599859,0.00194070533403536,0.000472473297197703,0.000128783212841236,0.0753295095805788,15106682.1564548,23911179.615352,52115536.9468574,142070595.720043,323567509.913328
"50","Vina",31075217.325207,0.000473723924658181,0.00010290240913274,5.02359821884698e-05,0.0471666640898465,7715840.91770025,11997452.0011238,28736863.4334458,77974820.2436905,173069256.540078
"51","Wouri",29144500.2432994,9.60370009621959e-06,3.96902911780842e-07,2.69638838292258e-05,0.00567914233693041,18707511.379059,19805860.3951344,30604964.0422425,58559941.496853,113089421.443084
